Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,300.399994,305.619995,300.01001,304.019989,304.019989,3656200
2023-02-27,304.369995,305.779999,302.01001,304.660004,304.660004,3652200
2023-02-28,304.890015,306.149994,303.410004,305.179993,305.179993,4736800
2023-03-01,304.019989,305.619995,302.079987,304.619995,304.619995,3397200
2023-03-02,303.660004,308.100006,301.450012,307.75,307.75,3152100
2023-03-03,309.559998,312.660004,308.5,312.450012,312.450012,4493000
2023-03-06,312.820007,317.290009,312.429993,316.970001,316.970001,4889800
2023-03-07,316.390015,316.5,310.230011,311.119995,311.119995,3609700
2023-03-08,310.720001,312.679993,309.25,311.369995,311.369995,2701600
2023-03-09,311,313.179993,303.940002,304.820007,304.820007,3929500
2023-03-10,302.950012,306.720001,301.920013,303.630005,303.630005,5294800
2023-03-13,301.75,306.589996,300.76001,302.880005,302.880005,4993000
2023-03-14,306.920013,307.549988,301.679993,305.329987,305.329987,5251500
2023-03-15,300.019989,300.549988,294.899994,297.880005,297.880005,7162800
2023-03-16,296.369995,304.429993,295.359985,302.01001,302.01001,6325700
2023-03-17,301.299988,301.299988,292.420013,293.51001,293.51001,15609400
2023-03-20,295.570007,301.51001,295.059998,301.059998,301.059998,6056000
2023-03-21,304.559998,305.630005,302.25,303.850006,303.850006,4724000
2023-03-22,303.720001,307.049988,299.649994,299.730011,299.730011,3086300
2023-03-23,301.390015,302.079987,296.299988,298.369995,298.369995,4015800
2023-03-24,294.679993,299.5,293.390015,298.920013,298.920013,3905400
2023-03-27,300.880005,303.209991,298.970001,302.140015,302.140015,3833900
2023-03-28,301.929993,302.720001,300.589996,302.320007,302.320007,2436500
2023-03-29,304.799988,305.380005,303.359985,305.299988,305.299988,2650000
2023-03-30,307.089996,307.470001,302.579987,305.079987,305.079987,2694000
2023-03-31,305.899994,308.809998,304.98999,308.769989,308.769989,5020200
2023-04-03,309.25,311.5,308.23999,310.309998,310.309998,4862300
2023-04-04,310.76001,311,307.070007,309.070007,309.070007,2740300
2023-04-05,307.850006,311.070007,307.850006,310.390015,310.390015,2314500
2023-04-06,309.820007,313.220001,309.049988,312.51001,312.51001,3131400
2023-04-10,311.410004,313.700012,310.329987,312.619995,312.619995,2330900
2023-04-11,312.559998,315.940002,311.769989,313.700012,313.700012,3109500
2023-04-12,315.970001,316.920013,313.720001,314.549988,314.549988,2662600
2023-04-13,315.269989,318.809998,313.26001,318.049988,318.049988,3323300
2023-04-14,318.890015,321.880005,318.119995,319.73999,319.73999,2975400
2023-04-17,320.200012,323.980011,319,323.790009,323.790009,3425500
2023-04-18,324.950012,325.720001,322.5,324.630005,324.630005,3581200
2023-04-19,323.850006,324.549988,322.76001,323.089996,323.089996,2406200
2023-04-20,322.200012,324.369995,321.320007,323.820007,323.820007,2428400
2023-04-21,322.359985,324.850006,321.609985,324.329987,324.329987,2405700
2023-04-24,324.429993,326.399994,324.299988,326.049988,326.049988,2261900
